idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q62976	uniprotkb:P04256	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-1647150	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:roa1_rat(display_long)|uniprotkb:Hnrnpa1(gene name)|psi-mi:Hnrnpa1(display_short)|uniprotkb:Hnrpa1(gene name synonym)|uniprotkb:hnRNP core protein A1(gene name synonym)|uniprotkb:Helix-destabilizing protein(gene name synonym)|uniprotkb:Single-strand RNA-binding protein(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:D3ZD23	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-1638550|ensembl:ENSRNOP00000024753.7	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:d3zd23_rat(display_long)|uniprotkb:Abce1(gene name)|psi-mi:Abce1(display_short)|uniprotkb:RNase L inhibitor(gene name synonym)|uniprotkb:Ribonuclease 4 inhibitor(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	intact:EBI-1638542	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	-	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:unknown5_rat_protein(display_short)|psi-mi:EBI-1638542(display_long)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:D4AE02	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-1638531|ensembl:ENSRNOP00000038007.7	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:d4ae02_rat(display_long)|uniprotkb:Fam98b(gene name)|psi-mi:Fam98b(display_short)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:P60868	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-931416|ensembl:ENSRNOP00000011314.7|ensembl:ENSRNOP00000065886.1|ensembl:ENSRNOP00000066077.1|ensembl:ENSRNOP00000069127.1|uniprotkb:P17075	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:rs20_rat(display_long)|uniprotkb:Rps20(gene name)|psi-mi:Rps20(display_short)|uniprotkb:40S ribosomal protein S20(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:P04642	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-349226|ensembl:ENSRNOP00000017468.1	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:ldha_rat(display_long)|uniprotkb:Ldha(gene name)|psi-mi:Ldha(display_short)|uniprotkb:Ldh-1(gene name synonym)|uniprotkb:Ldh1(gene name synonym)|uniprotkb:LDH muscle subunit(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:Q99MY2	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-1638344	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:nudt4_rat(display_long)|uniprotkb:Nudt4(gene name)|psi-mi:Nudt4(display_short)|uniprotkb:Dipp2(gene name synonym)|uniprotkb:Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2(gene name synonym)|uniprotkb:Nucleoside diphosphate-linked moiety X motif 4(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:P05765	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-915936	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:rs21_rat(display_long)|uniprotkb:Rps21(gene name)|psi-mi:Rps21(display_short)|uniprotkb:40S ribosomal protein S21(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:P47198	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-931434	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:rl22_rat(display_long)|uniprotkb:Rpl22(gene name)|psi-mi:Rpl22(display_short)|uniprotkb:60S ribosomal protein L22(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
uniprotkb:Q62976	uniprotkb:P02650	intact:EBI-1638146|uniprotkb:Q7TMZ7|uniprotkb:Q7TMZ8|uniprotkb:Q7TQ55|uniprotkb:Q7TQ56|uniprotkb:Q7TQ57|uniprotkb:Q9WUI3|uniprotkb:O08626|uniprotkb:O55180|uniprotkb:O88659	intact:EBI-1638221	"psi-mi:kcma1_rat(display_long)|uniprotkb:Kcnma1(gene name)|psi-mi:Kcnma1(display_short)|uniprotkb:Kcnma(gene name synonym)|uniprotkb:Calcium-activated potassium channel, subfamily M subunit alpha-1(gene name synonym)|uniprotkb:Maxi K channel(gene name synonym)|uniprotkb:BK channel(gene name synonym)|uniprotkb:""K(VCA)alpha""(gene name synonym)|uniprotkb:BKCA alpha(gene name synonym)|uniprotkb:KCa1.1(gene name synonym)|uniprotkb:Slowpoke homolog(gene name synonym)|uniprotkb:Slo-alpha(gene name synonym)|uniprotkb:Slo1(gene name synonym)"	psi-mi:apoe_rat(display_long)|uniprotkb:Apoe(gene name)|psi-mi:Apoe(display_short)	"psi-mi:""MI:0096""(pull down)"	Kim et al. (2007)	imex:IM-11875|pubmed:17610306	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"taxid:10116(rat)|taxid:10116(""Rattus norvegicus (Rat)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1638145|imex:IM-11875-3	intact-miscore:0.35
